Timestamp,Sensor Type,Data,Trigger Event
2024-12-23 10:30:00, 1, 0,  
2024-12-23 10:30:00, 3, 500, 
2024-12-23 10:30:00, 1, 0,  
2024-12-23 10:30:00, 2, 29.4459,  
2024-12-23 10:30:01, 1, 0,  
2024-12-23 10:30:02, 1, 0,  
2024-12-23 10:30:03, 1, 0,  
2024-12-23 10:30:04, 1, 0,  
2024-12-23 10:30:05, 1, 0,  
2024-12-23 10:30:05, 3, 471.792, 
2024-12-23 10:30:05, 1, 0,  
2024-12-23 10:30:06, 1, 0,  
2024-12-23 10:30:07, 1, 0,  
2024-12-23 10:30:08, 1, 0,  
2024-12-23 10:30:09, 1, 0,  
2024-12-23 10:30:10, 1, 0,  
2024-12-23 10:30:10, 3, 461.225, 
2024-12-23 10:30:10, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:10, 2, 30,  
2024-12-23 10:30:11, 1, 0,  
2024-12-23 10:30:12, 1, 0,  
2024-12-23 10:30:13, 1, 0,  
2024-12-23 10:30:14, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:15, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:15, 3, 482.681,  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:15, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:16, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:17, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:18, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:19, 1, 0,  
2024-12-23 10:30:20, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:20, 3, 463.837,  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:20, 1, 0,  
2024-12-23 10:30:20, 2, 29.401,  
2024-12-23 10:30:21, 1, 0,  
2024-12-23 10:30:22, 1, 0,  
2024-12-23 10:30:23, 1, 0,  
2024-12-23 10:30:24, 1, 0,  
2024-12-23 10:30:25, 1, 0,  
2024-12-23 10:30:25, 3, 494.108, 
2024-12-23 10:30:25, 1, 0,  
2024-12-23 10:30:26, 1, 0,  
2024-12-23 10:30:27, 1, 0,  
2024-12-23 10:30:28, 1, 0,  
2024-12-23 10:30:29, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:30, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:30, 3, 419.095,  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:30, 1, 0,  
2024-12-23 10:30:30, 2, 29.4855,  
2024-12-23 10:30:31, 1, 0,  
2024-12-23 10:30:32, 1, 0,  
2024-12-23 10:30:33, 1, 0,  
2024-12-23 10:30:34, 1, 0,  
2024-12-23 10:30:35, 1, 0,  
2024-12-23 10:30:35, 3, 484.105, 
2024-12-23 10:30:35, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:36, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:30:37, 1, 0,  
2024-12-23 10:30:38, 1, 0,  
2024-12-23 10:30:39, 1, 0,  
2024-12-23 10:30:40, 1, 0,  
2024-12-23 10:30:40, 3, 496.623, 
2024-12-23 10:30:40, 1, 0,  
2024-12-23 10:30:40, 2, 29.5477,  
2024-12-23 10:30:41, 1, 0,  
2024-12-23 10:30:42, 1, 0,  
2024-12-23 10:30:43, 1, 0,  
2024-12-23 10:30:44, 1, 0,  
2024-12-23 10:30:45, 1, 0,  
2024-12-23 10:30:45, 3, 500, 
2024-12-23 10:30:45, 1, 0,  
2024-12-23 10:30:46, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:47, 1, 0,  
2024-12-23 10:30:48, 1, 0,  
2024-12-23 10:30:49, 1, 0,  
2024-12-23 10:30:50, 1, 0,  
2024-12-23 10:30:50, 3, 479.424, 
2024-12-23 10:30:50, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:30:50, 2, 28.7879,  
2024-12-23 10:30:51, 1, 0,  
2024-12-23 10:30:52, 1, 0,  
2024-12-23 10:30:53, 1, 0,  
2024-12-23 10:30:54, 1, 0,  
2024-12-23 10:30:55, 1, 0,  
2024-12-23 10:30:55, 3, 460.63, 
2024-12-23 10:30:55, 1, 0,  
2024-12-23 10:30:56, 1, 0,  
2024-12-23 10:30:57, 1, 0,  
2024-12-23 10:30:58, 1, 0,  
2024-12-23 10:30:59, 1, 0,  
2024-12-23 10:31:00, 1, 0,  
2024-12-23 10:31:00, 3, 470.931, 
2024-12-23 10:31:00, 1, 0,  
2024-12-23 10:31:00, 2, 30,  
2024-12-23 10:31:01, 1, 0,  
2024-12-23 10:31:02, 1, 0,  
2024-12-23 10:31:03, 1, 0,  
2024-12-23 10:31:04, 1, 0,  
2024-12-23 10:31:05, 1, 0,  
2024-12-23 10:31:05, 3, 473.412, 
2024-12-23 10:31:05, 1, 0,  
2024-12-23 10:31:06, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:07, 1, 0,  
2024-12-23 10:31:08, 1, 0,  
2024-12-23 10:31:09, 1, 0,  
2024-12-23 10:31:10, 1, 0,  
2024-12-23 10:31:10, 3, 465.051, 
2024-12-23 10:31:10, 1, 0,  
2024-12-23 10:31:10, 2, 28.4721,  
2024-12-23 10:31:11, 1, 0,  
2024-12-23 10:31:12, 1, 0,  
2024-12-23 10:31:13, 1, 0,  
2024-12-23 10:31:14, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:15, 1, 0,  
2024-12-23 10:31:15, 3, 488.364, 
2024-12-23 10:31:15, 1, 0,  
2024-12-23 10:31:16, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:17, 1, 0,  
2024-12-23 10:31:18, 1, 0,  
2024-12-23 10:31:19, 1, 0,  
2024-12-23 10:31:20, 1, 0,  
2024-12-23 10:31:20, 3, 500, 
2024-12-23 10:31:20, 1, 0,  
2024-12-23 10:31:20, 2, 29.0264,  
2024-12-23 10:31:21, 1, 0,  
2024-12-23 10:31:22, 1, 0,  
2024-12-23 10:31:23, 1, 0,  
2024-12-23 10:31:24, 1, 0,  
2024-12-23 10:31:25, 1, 0,  
2024-12-23 10:31:25, 3, 456.441, 
2024-12-23 10:31:25, 1, 0,  
2024-12-23 10:31:26, 1, 0,  
2024-12-23 10:31:27, 1, 0,  
2024-12-23 10:31:28, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:29, 1, 0,  
2024-12-23 10:31:30, 1, 0,  
2024-12-23 10:31:30, 3, 500, 
2024-12-23 10:31:30, 1, 0,  
2024-12-23 10:31:30, 2, 30,  
2024-12-23 10:31:31, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:32, 1, 0,  
2024-12-23 10:31:33, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:31:34, 1, 0,  
2024-12-23 10:31:35, 1, 0,  
2024-12-23 10:31:35, 3, 473.271, 
2024-12-23 10:31:35, 1, 0,  
2024-12-23 10:31:36, 1, 0,  
2024-12-23 10:31:37, 1, 0,  
2024-12-23 10:31:38, 1, 0,  
2024-12-23 10:31:39, 1, 0,  
2024-12-23 10:31:40, 1, 0,  
2024-12-23 10:31:40, 3, 500, 
2024-12-23 10:31:40, 1, 0,  
2024-12-23 10:31:40, 2, 29.6711,  
2024-12-23 10:31:41, 1, 0,  
2024-12-23 10:31:42, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:43, 1, 0,  
2024-12-23 10:31:44, 1, 0,  
2024-12-23 10:31:45, 1, 0,  
2024-12-23 10:31:45, 3, 500, 
2024-12-23 10:31:45, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:46, 1, 0,  
2024-12-23 10:31:47, 1, 0,  
2024-12-23 10:31:48, 1, 0,  
2024-12-23 10:31:49, 1, 0,  
2024-12-23 10:31:50, 1, 0,  
2024-12-23 10:31:50, 3, 482.603, 
2024-12-23 10:31:50, 1, 0,  
2024-12-23 10:31:50, 2, 29.3351,  
2024-12-23 10:31:51, 1, 0,  
2024-12-23 10:31:52, 1, 0,  
2024-12-23 10:31:53, 1, 0,  
2024-12-23 10:31:54, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:31:55, 1, 0,  
2024-12-23 10:31:55, 3, 493.492, 
2024-12-23 10:31:55, 1, 0,  
2024-12-23 10:31:56, 1, 0,  
2024-12-23 10:31:57, 1, 0,  
2024-12-23 10:31:58, 1, 0,  
2024-12-23 10:31:59, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:32:00, 1, 0,  
2024-12-23 10:32:00, 3, 491.063, 
2024-12-23 10:32:00, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:32:00, 2, 29.6701,  
2024-12-23 10:32:01, 1, 1, Set off Intrusion Alarm! 
2024-12-23 10:32:02, 1, 0,  
2024-12-23 10:32:03, 1, 0,  
2024-12-23 10:32:04, 1, 0,  
2024-12-23 10:32:05, 1, 0,  
2024-12-23 10:32:05, 3, 477.923, 
2024-12-23 10:32:05, 1, 0,  
2024-12-23 10:32:06, 1, 0,  
2024-12-23 10:32:07, 1, 0,  
2024-12-23 10:32:08, 1, 0,  
2024-12-23 10:32:09, 1, 0,  
2024-12-23 10:32:10, 1, 0,  
2024-12-23 10:32:10, 3, 455.327, 
2024-12-23 10:32:10, 1, 0,  
2024-12-23 10:32:10, 2, 29.8192,  
2024-12-23 10:32:11, 1, 0,  
2024-12-23 10:32:12, 1, 0,  
2024-12-23 10:32:13, 1, 0,  
2024-12-23 10:32:14, 1, 0,  
2024-12-23 10:32:15, 1, 1, Set off Intrusion Alarm!  Adjusted brightness to 300.0 lux.
2024-12-23 10:32:15, 3, 481.108,  Adjusted brightness to 300.0 lux.
2024-12-23 10:32:15, 1, 0,  
2024-12-23 10:32:16, 1, 0,  
2024-12-23 10:32:17, 1, 0,  
2024-12-23 10:32:18, 1, 0,  
